"","circunscripción","organismo","año_mes","causas resueltas","a termino","luego 1er Vencim","luego 2do Vencim","sentencias","autos","sin clasif","resol vencidas"
"66","Gualeguaychú","Jdo Civ y Com 2","2024-06","44","42","2","0","11","33","0","5 %"
"67","Gualeguaychú","Jdo Civ y Com 3","2024-03","30","30","0","0","27","3","0","0 %"
"68","Gualeguaychú","Jdo Civ y Com 3","2024-04","27","26","1","0","24","3","0","4 %"
"69","Gualeguaychú","Jdo Civ y Com 3","2024-05","28","25","2","1","26","2","0","11 %"
"70","Gualeguaychú","Jdo Civ y Com 3","2024-06","28","26","2","0","23","5","0","7 %"
"71","Islas del Ibicuy","Jdo Civ Com y Lab","2024-03","14","14","0","0","4","10","0","0 %"
"72","Islas del Ibicuy","Jdo Civ Com y Lab","2024-04","17","17","0","0","1","16","0","0 %"
"73","Islas del Ibicuy","Jdo Civ Com y Lab","2024-05","19","19","0","0","5","14","0","0 %"
"74","Islas del Ibicuy","Jdo Civ Com y Lab","2024-06","14","14","0","0","3","11","0","0 %"
"75","La Paz","Jdo Civ y Com 1 -ccomp.Laboral","2024-03","43","43","0","0","10","33","0","0 %"
"76","La Paz","Jdo Civ y Com 1 -ccomp.Laboral","2024-04","37","37","0","0","13","24","0","0 %"
"77","La Paz","Jdo Civ y Com 1 -ccomp.Laboral","2024-05","35","32","1","2","14","21","0","9 %"
"78","La Paz","Jdo Civ y Com 1 -ccomp.Laboral","2024-06","25","23","2","0","12","13","0","8 %"
"79","La Paz","Jdo Civ y Com 2 -ccomp.Laboral","2024-03","38","38","0","0","12","26","0","0 %"
"80","La Paz","Jdo Civ y Com 2 -ccomp.Laboral","2024-04","32","32","0","0","16","16","0","0 %"
"81","La Paz","Jdo Civ y Com 2 -ccomp.Laboral","2024-05","35","35","0","0","5","30","0","0 %"
"82","Nogoyá","Jdo Civ y Com 1 -ccomp.Laboral","2024-03","32","27","5","0","12","20","0","16 %"
"83","Nogoyá","Jdo Civ y Com 1 -ccomp.Laboral","2024-04","30","27","3","0","13","17","0","10 %"
"84","Nogoyá","Jdo Civ y Com 1 -ccomp.Laboral","2024-05","49","44","5","0","5","44","0","10 %"
"85","Nogoyá","Jdo Civ y Com 1 -ccomp.Laboral","2024-06","28","22","6","0","3","25","0","21 %"
"86","Nogoyá","Jdo Civ y Com 2 -ccomp.Laboral","2024-03","37","37","0","0","13","24","0","0 %"
"87","Nogoyá","Jdo Civ y Com 2 -ccomp.Laboral","2024-04","39","39","0","0","7","32","0","0 %"
"88","Nogoyá","Jdo Civ y Com 2 -ccomp.Laboral","2024-05","56","56","0","0","9","47","0","0 %"
"89","Nogoyá","Jdo Civ y Com 2 -ccomp.Laboral","2024-06","36","36","0","0","8","28","0","0 %"
"90","Paraná","Jdo Civ y Com 1","2024-03","55","48","1","6","8","47","0","13 %"
"91","Paraná","Jdo Civ y Com 1","2024-04","53","49","4","0","4","49","0","8 %"
"92","Paraná","Jdo Civ y Com 1","2024-05","59","53","4","2","7","52","0","10 %"
"93","Paraná","Jdo Civ y Com 1","2024-06","37","36","1","0","1","36","0","3 %"
"94","Paraná","Jdo Civ y Com 2","2024-03","61","61","0","0","11","50","0","0 %"
"95","Paraná","Jdo Civ y Com 2","2024-04","45","45","0","0","9","36","0","0 %"
"96","Paraná","Jdo Civ y Com 2","2024-05","76","76","0","0","10","66","0","0 %"
"97","Paraná","Jdo Civ y Com 2","2024-06","56","56","0","0","7","49","0","0 %"
"98","Paraná","Jdo Civ y Com 3","2024-03","56","50","6","0","9","47","0","11 %"
"99","Paraná","Jdo Civ y Com 3","2024-04","69","66","3","0","9","60","0","4 %"
"100","Paraná","Jdo Civ y Com 3","2024-05","75","69","5","1","12","63","0","8 %"
"101","Paraná","Jdo Civ y Com 3","2024-06","61","60","0","0","10","51","0","0 %"
"102","Paraná","Jdo Civ y Com 4","2024-03","74","70","4","0","6","68","0","5 %"
"103","Paraná","Jdo Civ y Com 4","2024-04","65","59","6","0","7","58","0","9 %"
"104","Paraná","Jdo Civ y Com 4","2024-05","77","73","4","0","7","70","0","5 %"
"105","Paraná","Jdo Civ y Com 4","2024-06","56","51","3","1","2","54","0","7 %"
"106","Paraná","Jdo Civ y Com 5","2024-03","70","70","0","0","5","65","0","0 %"
"107","Paraná","Jdo Civ y Com 5","2024-04","60","60","0","0","7","53","0","0 %"
