"","circunscripcion","organismo","año_mes","Total","SUCESORIOS","EJECUCIONES","ORDINARIOS","SUMARISIMO","COBRO DE PESOS","DESALOJO","INCIDENTES","CAUTELARES","MONITORIOS","INTERDICTOS","PROC.COSTIT.","PREPARATORIOS","BENEF.LITIG.SG.","HOMOLOGACIONES","OTROS"
"51","Gualeguay","Jdo Civ y Com 1","2024-03","15","8","0","2","0","0","0","0","0","0","0","0","0","2","0","3"
"52","Gualeguay","Jdo Civ y Com 1","2024-04","26","13","6","1","0","0","1","0","0","1","0","1","0","2","0","1"
"53","Gualeguay","Jdo Civ y Com 1","2024-05","27","10","8","4","0","0","1","1","0","0","0","0","0","1","0","2"
"54","Gualeguay","Jdo Civ y Com 1","2024-06","27","10","6","7","0","0","0","0","0","1","0","0","0","2","0","1"
"55","Gualeguay","Jdo Civ y Com 2","2024-03","18","8","1","3","0","0","0","2","0","0","0","0","0","2","0","2"
"56","Gualeguay","Jdo Civ y Com 2","2024-04","20","12","5","0","0","0","1","1","0","0","0","0","0","1","0","0"
"57","Gualeguay","Jdo Civ y Com 2","2024-05","24","9","5","1","0","0","1","2","1","0","0","0","0","2","0","3"
"58","Gualeguay","Jdo Civ y Com 2","2024-06","31","10","3","5","0","0","0","2","0","2","0","1","0","4","0","4"
"59","Gualeguaychú","Jdo Civ y Com 1","2024-03","46","24","8","3","1","1","0","2","0","1","0","0","0","1","0","5"
"60","Gualeguaychú","Jdo Civ y Com 1","2024-04","40","16","8","6","2","0","0","0","0","0","0","1","1","5","0","1"
"61","Gualeguaychú","Jdo Civ y Com 1","2024-05","48","22","6","3","6","0","0","1","0","7","0","0","0","1","0","2"
"62","Gualeguaychú","Jdo Civ y Com 1","2024-06","41","18","10","3","1","2","0","0","0","2","0","1","0","3","0","1"
"63","Gualeguaychú","Jdo Civ y Com 2","2024-03","33","17","5","2","1","1","1","0","1","1","0","0","1","2","0","1"
"64","Gualeguaychú","Jdo Civ y Com 2","2024-04","45","21","6","7","2","0","0","2","1","1","0","0","0","4","0","1"
"65","Gualeguaychú","Jdo Civ y Com 2","2024-05","48","20","6","8","1","0","1","1","1","1","0","1","1","1","0","6"
"66","Gualeguaychú","Jdo Civ y Com 2","2024-06","47","22","6","5","1","0","0","2","1","4","0","1","1","2","0","2"
"67","Gualeguaychú","Jdo Civ y Com 3","2024-03","50","21","9","5","0","0","1","1","0","5","0","0","0","1","2","5"
"68","Gualeguaychú","Jdo Civ y Com 3","2024-04","47","19","14","3","1","0","1","2","0","0","0","0","0","4","0","3"
